REF_AREA,Measure,OBS_VALUE,TIME_PERIOD
USA,Share of population who are daily smokers,13.2,2011
USA,Share of population who are daily smokers,12.6,2012
USA,Share of population who are daily smokers,13.1,2013
USA,Share of population who are daily smokers,11.1,2014
USA,Share of population who are daily smokers,7.7,2015
USA,Share of population who are daily smokers,9.0,2016
USA,Share of population who are daily smokers,6.8,2017
USA,Share of population who are daily smokers,5.0,2018
USA,Share of population who are daily smokers,4.9,2019
USA,Share of population who are daily smokers,5.0,2020
USA,Share of population who are daily smokers,3.1,2021
AUS,Share of population consuming vegetables daily,99.0,2011
AUS,Share of population consuming vegetables daily,99.0,2014
AUS,Share of population consuming vegetables daily,99.2,2017
GBR,Share of population consuming vegetables daily,70.0,2014
POL,Share of population consuming fruits daily,63.9,2014
POL,Share of population consuming fruits daily,61.9,2019
FIN,Share of population who are daily smokers,15.7,2010
FIN,Share of population who are daily smokers,14.8,2011
FIN,Share of population who are daily smokers,14.0,2012
FIN,Share of population who are daily smokers,13.2,2013
FIN,Share of population who are daily smokers,14.0,2014
FIN,Share of population who are daily smokers,14.5,2015
FIN,Share of population who are daily smokers,15.0,2016
FIN,Share of population who are daily smokers,12.0,2017
FIN,Share of population who are daily smokers,13.0,2018
FIN,Share of population who are daily smokers,10.0,2019
FIN,Share of population who are daily smokers,11.0,2020
SWE,Share of population who are daily smokers,12.5,2010
SWE,Share of population who are daily smokers,12.4,2011
SWE,Share of population who are daily smokers,13.1,2012
SWE,Share of population who are daily smokers,11.7,2013
SWE,Share of population who are daily smokers,12.1,2014
SWE,Share of population who are daily smokers,10.7,2015
SWE,Share of population who are daily smokers,11.2,2016
SWE,Share of population who are daily smokers,10.3,2017
SWE,Share of population who are daily smokers,9.2,2018
SWE,Share of population who are daily smokers,10.6,2019
SWE,Share of population who are daily smokers,8.7,2020
SWE,Share of population who are daily smokers,9.1,2021
SVN,Share of population who are overweight,30.2,2014
SVN,Share of population who are overweight,30.5,2019
HUN,Share of population who are obese,22.0,2014
HUN,Share of population who are obese,20.4,2017
HUN,Share of population who are obese,25.1,2019
ESP,Share of population who are overweight or obese,52.7,2011
ESP,Share of population who are overweight or obese,51.5,2014
ESP,Share of population who are overweight or obese,53.0,2017
ESP,Share of population who are overweight or obese,50.2,2020
GBR,Share of population who are overweight or obese,68.6,2021
AUS,Share of population who are obese,28.2,2011
AUS,Share of population who are obese,27.4,2014
AUS,Share of population who are obese,29.3,2017
FIN,Share of population who are obese,24.8,2011
FIN,Share of population who are obese,21.5,2012
FIN,Share of population who are obese,26.8,2017
HUN,Share of population who are obese,28.2,2014
HUN,Share of population who are obese,35.8,2019
LTU,Share of population who are overweight or obese,51.5,2014
LTU,Share of population who are overweight or obese,52.4,2019
MEX,Share of population who are daily smokers,15.5,2011
MEX,Share of population who are daily smokers,11.9,2015
MEX,Share of population who are daily smokers,10.0,2016
MEX,Share of population who are daily smokers,12.5,2018
MEX,Share of population who are daily smokers,12.3,2020
MEX,Share of population who are daily smokers,13.2,2021
HRV,Share of population who are overweight,45.8,2014
HRV,Share of population who are overweight,48.7,2019
CHL,Share of population who are daily smokers,14.0,2016
CHL,Share of population who are daily smokers,8.7,2020
IDN,Share of population who are obese,4.8,2010
IDN,Share of population who are obese,5.1,2011
IDN,Share of population who are obese,5.4,2012
IDN,Share of population who are obese,5.8,2013
IDN,Share of population who are obese,6.2,2014
IDN,Share of population who are obese,6.5,2015
IDN,Share of population who are obese,6.9,2016
ROU,Share of population who are daily smokers,19.8,2014
ROU,Share of population who are daily smokers,18.7,2019
ARG,Share of population who are obese,23.8,2010
ARG,Share of population who are obese,24.4,2011
ARG,Share of population who are obese,25.0,2012
ARG,Share of population who are obese,25.5,2013
ARG,Share of population who are obese,26.1,2014
ARG,Share of population who are obese,26.8,2015
ARG,Share of population who are obese,27.4,2016
DEU,Share of population who are daily smokers,15.6,2013
DEU,Share of population who are daily smokers,11.2,2017
DEU,Share of population who are daily smokers,7.9,2021
DEU,Share of population consuming vegetables daily,31.2,2010
DEU,Share of population consuming vegetables daily,35.8,2012
DEU,Share of population consuming vegetables daily,25.3,2014
DEU,Share of population consuming vegetables daily,35.6,2019
SVK,Share of population consuming fruits daily,47.4,2014
SVK,Share of population consuming fruits daily,52.9,2019
TUR,Share of population who are daily smokers,25.4,2010
TUR,Share of population who are daily smokers,23.8,2012
TUR,Share of population who are daily smokers,27.3,2014
TUR,Share of population who are daily smokers,26.5,2016
TUR,Share of population who are daily smokers,28.0,2019
HUN,Share of population who are overweight,39.4,2014
HUN,Share of population who are overweight,42.5,2017
HUN,Share of population who are overweight,40.1,2019
LUX,Share of population who are overweight,25.4,2014
LUX,Share of population who are overweight,27.0,2017
LUX,Share of population who are overweight,23.8,2019
SWE,Share of population who are overweight,35.1,2010
SWE,Share of population who are overweight,35.3,2011
SWE,Share of population who are overweight,35.3,2012
SWE,Share of population who are overweight,35.2,2013
SWE,Share of population who are overweight,34.3,2014
SWE,Share of population who are overweight,36.0,2015
SWE,Share of population who are overweight,35.9,2016
SWE,Share of population who are overweight,35.1,2017
SWE,Share of population who are overweight,35.8,2018
SWE,Share of population who are overweight,35.4,2019
SWE,Share of population who are overweight,35.6,2020
SWE,Share of population who are overweight,36.0,2021
ISL,Share of population who are obese,19.3,2010
ISL,Share of population who are obese,23.1,2012
ISL,Share of population who are obese,18.0,2015
ISL,Share of population who are obese,19.4,2019
NLD,Share of population who are obese,11.4,2010
NLD,Share of population who are obese,11.4,2011
NLD,Share of population who are obese,12.0,2012
NLD,Share of population who are obese,11.1,2013
NLD,Share of population who are obese,13.3,2014
NLD,Share of population who are obese,12.8,2015
NLD,Share of population who are obese,13.6,2016
NLD,Share of population who are obese,13.4,2017
NLD,Share of population who are obese,14.4,2018
NLD,Share of population who are obese,14.1,2019
NLD,Share of population who are obese,13.4,2020
NLD,Share of population who are obese,13.9,2021
CZE,Share of population who are overweight or obese,48.2,2014
CZE,Share of population who are overweight or obese,49.3,2019
CAN,Share of population who are overweight,34.2,2011
CAN,Share of population who are overweight,35.6,2013
CAN,Share of population who are overweight,36.1,2015
CAN,Share of population who are overweight,33.5,2017
CAN,Share of population who are overweight,35.5,2019
BEL,Share of population who are obese,18.6,2014
BEL,Share of population who are obese,21.2,2018
PRT,Share of population who are obese,24.9,2015
LVA,Share of population consuming vegetables daily,41.1,2010
LVA,Share of population consuming vegetables daily,31.1,2012
LVA,Share of population consuming vegetables daily,43.2,2014
LVA,Share of population consuming vegetables daily,48.7,2016
LVA,Share of population consuming vegetables daily,42.0,2018
LVA,Share of population consuming vegetables daily,39.1,2020
LVA,Share of population who are overweight or obese,56.3,2014
LVA,Share of population who are overweight or obese,56.2,2016
LVA,Share of population who are overweight or obese,58.5,2018
LVA,Share of population who are overweight or obese,57.6,2020
CHN,Share of population who are obese,5.1,2010
CHN,Share of population who are obese,5.4,2011
CHN,Share of population who are obese,5.7,2012
CHN,Share of population who are obese,6.0,2013
CHN,Share of population who are obese,6.4,2014
CHN,Share of population who are obese,6.7,2015
CHN,Share of population who are obese,7.1,2016
LTU,Share of population who are daily smokers,13.7,2014
LTU,Share of population who are daily smokers,12.9,2019
CAN,Share of population who are daily smokers,15.1,2010
CAN,Share of population who are daily smokers,12.8,2011
CAN,Share of population who are daily smokers,14.5,2012
CAN,Share of population who are daily smokers,14.6,2013
CAN,Share of population who are daily smokers,11.0,2014
CAN,Share of population who are daily smokers,10.1,2015
CAN,Share of population who are daily smokers,8.4,2016
CAN,Share of population who are daily smokers,9.1,2017
CAN,Share of population who are daily smokers,7.1,2018
CAN,Share of population who are daily smokers,4.9,2019
CAN,Share of population who are daily smokers,4.6,2020
CAN,Share of population who are daily smokers,2.3,2021
IDN,Share of population who are obese,5.7,2014
HUN,Share of population who are daily smokers,27.2,2014
HUN,Share of population who are daily smokers,26.3,2019
HRV,Share of population consuming fruits daily,58.1,2014
HRV,Share of population consuming fruits daily,59.0,2019
LUX,Share of population consuming vegetables daily,52.2,2014
LUX,Share of population consuming vegetables daily,37.6,2019
NOR,Share of population consuming vegetables daily,57.0,2012
NOR,Share of population consuming vegetables daily,47.0,2015
NOR,Share of population consuming vegetables daily,49.0,2019
NOR,Share of population consuming vegetables daily,59.0,2022
DNK,Share of population who are overweight,26.3,2010
DNK,Share of population who are overweight,26.7,2013
DNK,Share of population who are overweight,27.8,2017
DNK,Share of population who are overweight,27.8,2021
ITA,Share of population who are overweight,35.6,2010
ITA,Share of population who are overweight,35.8,2011
ITA,Share of population who are overweight,35.6,2012
ITA,Share of population who are overweight,35.5,2013
ITA,Share of population who are overweight,36.2,2014
ITA,Share of population who are overweight,35.3,2015
ITA,Share of population who are overweight,35.5,2016
ITA,Share of population who are overweight,35.4,2017
ITA,Share of population who are overweight,35.4,2018
ITA,Share of population who are overweight,35.4,2019
ITA,Share of population who are overweight,36.1,2020
ITA,Share of population who are overweight,34.2,2021
AUS,Share of population who are obese,18.7,2017
SWE,Share of population who are obese,11.3,2010
SWE,Share of population who are obese,11.0,2011
SWE,Share of population who are obese,11.8,2012
SWE,Share of population who are obese,11.7,2013
SWE,Share of population who are obese,12.2,2014
SWE,Share of population who are obese,12.3,2015
SWE,Share of population who are obese,13.0,2016
SWE,Share of population who are obese,13.1,2017
SWE,Share of population who are obese,14.1,2018
SWE,Share of population who are obese,13.7,2019
SWE,Share of population who are obese,14.4,2020
SWE,Share of population who are obese,15.3,2021
GRC,Share of population who are overweight or obese,65.7,2014
GRC,Share of population who are overweight or obese,65.8,2019
BEL,Share of population who are overweight or obese,51.0,2014
BEL,Share of population who are overweight or obese,55.4,2018
LTU,Share of population who are overweight,41.9,2014
LTU,Share of population who are overweight,45.3,2017
LTU,Share of population who are overweight,41.8,2019
GRC,Share of population consuming vegetables daily,67.1,2014
GRC,Share of population consuming vegetables daily,59.1,2019
LTU,Share of population consuming fruits daily,47.9,2014
LTU,Share of population consuming fruits daily,47.4,2019
COL,Share of population consuming fruits daily,76.7,2015
IND,Share of population who are daily smokers,25.4,2010
IND,Share of population who are daily smokers,19.1,2015
IND,Share of population who are daily smokers,16.1,2018
IND,Share of population who are daily smokers,15.3,2019
IND,Share of population who are daily smokers,14.4,2020
CHN,Share of population who are obese,8.0,2014
TUR,Share of population who are daily smokers,6.1,2010
TUR,Share of population who are daily smokers,5.0,2012
TUR,Share of population who are daily smokers,5.7,2014
TUR,Share of population who are daily smokers,7.8,2016
TUR,Share of population who are daily smokers,7.9,2019
BRA,Share of population who are obese,20.8,2013
BRA,Share of population who are obese,25.9,2019
GBR,Share of population consuming fruits daily,67.9,2014
GBR,Tobacco consumption,10.0,2010
GBR,Tobacco consumption,10.0,2011
GBR,Tobacco consumption,10.0,2012
GBR,Tobacco consumption,10.0,2013
GBR,Tobacco consumption,10.0,2014
GBR,Tobacco consumption,10.0,2015
GBR,Tobacco consumption,10.0,2016
GBR,Tobacco consumption,10.0,2017
GBR,Tobacco consumption,10.0,2018
GBR,Tobacco consumption,10.0,2019
BEL,Share of population who are obese,13.7,2013
BEL,Share of population who are obese,15.9,2018
LUX,Share of population who are overweight or obese,39.8,2014
LUX,Share of population who are overweight or obese,38.4,2019
POL,Share of population who are overweight or obese,62.2,2014
POL,Share of population who are overweight or obese,65.1,2019
CZE,Share of population who are overweight,40.0,2010
MEX,Share of population who are overweight or obese,71.3,2012
MEX,Share of population who are overweight or obese,72.5,2016
MEX,Share of population who are overweight or obese,75.2,2018
MEX,Share of population who are overweight or obese,74.1,2020
USA,Share of population who are overweight or obese,74.0,2010
USA,Share of population who are overweight or obese,71.3,2012
USA,Share of population who are overweight or obese,73.7,2014
USA,Share of population who are overweight or obese,74.1,2016
USA,Share of population who are overweight or obese,77.3,2018
LTU,Share of population who are obese,13.4,2014
LTU,Share of population who are obese,15.5,2017
LTU,Share of population who are obese,16.4,2019
ESP,Share of population who are daily smokers,27.9,2011
ESP,Share of population who are daily smokers,27.6,2014
ESP,Share of population who are daily smokers,25.6,2017
ESP,Share of population who are daily smokers,23.3,2020
COL,Share of population consuming vegetables daily,71.8,2015
CHE,Share of population consuming fruits daily,52.7,2012
CHE,Share of population consuming fruits daily,51.3,2017
JPN,Share of population who are daily smokers,19.5,2010
JPN,Share of population who are daily smokers,20.1,2011
JPN,Share of population who are daily smokers,20.7,2012
JPN,Share of population who are daily smokers,19.3,2013
JPN,Share of population who are daily smokers,19.6,2014
JPN,Share of population who are daily smokers,18.2,2015
JPN,Share of population who are daily smokers,18.3,2016
JPN,Share of population who are daily smokers,17.7,2017
JPN,Share of population who are daily smokers,17.8,2018
JPN,Share of population who are daily smokers,16.7,2019
HRV,Share of population who are obese,22.1,2010
HRV,Share of population who are obese,22.7,2011
HRV,Share of population who are obese,23.4,2012
HRV,Share of population who are obese,24.0,2013
HRV,Share of population who are obese,24.6,2014
HRV,Share of population who are obese,25.3,2015
HRV,Share of population who are obese,26.0,2016
RUS,Share of population who are obese,17.8,2018
DNK,Share of population consuming vegetables daily,47.1,2010
DNK,Share of population consuming vegetables daily,45.8,2013
DNK,Share of population consuming vegetables daily,44.1,2014
DNK,Share of population consuming vegetables daily,46.0,2019
HUN,Share of population consuming fruits daily,59.1,2014
HUN,Share of population consuming fruits daily,55.4,2019
CHL,Share of population consuming vegetables daily,54.0,2016
KOR,Share of population who are daily smokers,22.9,2010
KOR,Share of population who are daily smokers,23.2,2011
KOR,Share of population who are daily smokers,21.6,2012
KOR,Share of population who are daily smokers,19.9,2013
KOR,Share of population who are daily smokers,20.0,2014
KOR,Share of population who are daily smokers,17.3,2015
KOR,Share of population who are daily smokers,18.4,2016
KOR,Share of population who are daily smokers,17.5,2017
KOR,Share of population who are daily smokers,17.5,2018
KOR,Share of population who are daily smokers,16.4,2019
KOR,Share of population who are daily smokers,15.9,2020
KOR,Share of population who are daily smokers,15.4,2021
NLD,Share of population who are overweight,36.8,2010
NLD,Share of population who are overweight,36.8,2011
NLD,Share of population who are overweight,35.9,2012
NLD,Share of population who are overweight,34.5,2013
NLD,Share of population who are overweight,34.9,2014
NLD,Share of population who are overweight,34.7,2015
NLD,Share of population who are overweight,34.0,2016
NLD,Share of population who are overweight,33.9,2017
NLD,Share of population who are overweight,34.1,2018
NLD,Share of population who are overweight,34.3,2019
NLD,Share of population who are overweight,35.0,2020
NLD,Share of population who are overweight,34.6,2021
LUX,Share of population who are obese,14.4,2014
LUX,Share of population who are obese,14.3,2017
LUX,Share of population who are obese,14.6,2019
PRT,Share of population who are overweight or obese,49.1,2014
PRT,Share of population who are overweight or obese,49.2,2019
PRT,Share of population who are overweight or obese,57.1,2014
PRT,Share of population who are overweight or obese,58.6,2019
CZE,Share of population who are obese,21.0,2010
CHE,Share of population consuming vegetables daily,60.2,2012
CHE,Share of population consuming vegetables daily,59.1,2017
ISR,Share of population who are daily smokers,12.6,2010
ISR,Share of population who are daily smokers,10.8,2013
ISR,Share of population who are daily smokers,11.4,2014
ISR,Share of population who are daily smokers,14.1,2016
ISR,Share of population who are daily smokers,12.8,2017
ISR,Share of population who are daily smokers,11.4,2019
DEU,Share of population consuming fruits daily,70.8,2010
DEU,Share of population consuming fruits daily,69.5,2012
DEU,Share of population consuming fruits daily,55.6,2014
DEU,Share of population consuming fruits daily,65.8,2019
ROU,Share of population consuming fruits daily,31.8,2014
ROU,Share of population consuming fruits daily,27.6,2019
ISL,Share of population who are daily smokers,10.8,2010
ISL,Share of population who are daily smokers,9.4,2011
ISL,Share of population who are daily smokers,13.3,2012
ISL,Share of population who are daily smokers,7.5,2013
ISL,Share of population who are daily smokers,11.5,2014
ISL,Share of population who are daily smokers,5.5,2015
ISL,Share of population who are daily smokers,6.9,2016
ISL,Share of population who are daily smokers,5.5,2017
ISL,Share of population who are daily smokers,4.7,2018
ISL,Share of population who are daily smokers,3.2,2019
ISL,Share of population who are daily smokers,2.4,2020
ISL,Share of population who are daily smokers,3.9,2021
ISL,Share of population who are daily smokers,3.0,2022
FRA,Share of population who are daily smokers,40.7,2010
FRA,Share of population who are daily smokers,31.4,2012
FRA,Share of population who are daily smokers,42.6,2014
FRA,Share of population who are daily smokers,44.2,2016
FRA,Share of population who are daily smokers,35.3,2017
FRA,Share of population who are daily smokers,33.2,2018
FRA,Share of population who are daily smokers,36.5,2019
FRA,Share of population who are daily smokers,35.8,2020
FRA,Share of population who are daily smokers,28.7,2021
ISL,Share of population consuming fruits daily,44.1,2010
ISL,Share of population consuming fruits daily,46.3,2014
ISL,Share of population consuming fruits daily,53.2,2015
ISL,Share of population consuming fruits daily,51.8,2016
ISL,Share of population consuming fruits daily,52.5,2017
ISL,Share of population consuming fruits daily,48.7,2018
ISL,Share of population consuming fruits daily,49.0,2019
ISL,Share of population consuming fruits daily,44.7,2020
ISL,Share of population consuming fruits daily,46.2,2021
ISL,Share of population consuming fruits daily,45.5,2022
IRL,Share of population who are daily smokers,20.0,2015
IRL,Share of population who are daily smokers,21.0,2016
IRL,Share of population who are daily smokers,20.0,2017
IRL,Share of population who are daily smokers,19.0,2018
IRL,Share of population who are daily smokers,16.0,2019
IRL,Share of population who are daily smokers,17.0,2021
IRL,Share of population who are daily smokers,17.0,2022
GRC,Tobacco consumption,18.8,2014
GRC,Tobacco consumption,17.0,2019
IRL,Share of population who are overweight,29.0,2015
IRL,Share of population who are overweight,24.0,2019
IRL,Share of population who are overweight,30.0,2022
ESP,Share of population who are obese,16.6,2011
ESP,Share of population who are obese,16.7,2014
ESP,Share of population who are obese,16.9,2017
ESP,Share of population who are obese,14.9,2020
AUS,Share of population who are overweight or obese,40.2,2017
AUS,Share of population who are overweight,28.0,2011
AUS,Share of population who are overweight,28.8,2014
AUS,Share of population who are overweight,29.0,2017
FIN,Share of population who are overweight,40.2,2011
FIN,Share of population who are overweight,36.5,2012
FIN,Share of population who are overweight,40.8,2017
USA,Share of population who are overweight,38.0,2010
USA,Share of population who are overweight,37.3,2012
USA,Share of population who are overweight,38.2,2014
USA,Share of population who are overweight,35.8,2016
USA,Share of population who are overweight,33.7,2018
HUN,Share of population who are overweight or obese,64.8,2014
HUN,Share of population who are overweight or obese,76.0,2019
LTU,Share of population who are obese,19.2,2014
LTU,Share of population who are obese,18.9,2017
LTU,Share of population who are obese,19.9,2019
CRI,Tobacco consumption,10.7,2010
CRI,Tobacco consumption,10.5,2011
CRI,Tobacco consumption,10.4,2012
CRI,Tobacco consumption,10.2,2013
CRI,Tobacco consumption,10.1,2014
CRI,Tobacco consumption,9.9,2015
CRI,Tobacco consumption,10.3,2016
CRI,Tobacco consumption,10.3,2017
CRI,Tobacco consumption,10.3,2018
CRI,Tobacco consumption,10.2,2019
CRI,Tobacco consumption,10.2,2020
CRI,Tobacco consumption,10.2,2021
CRI,Tobacco consumption,7.2,2022
POL,Share of population consuming vegetables daily,59.6,2014
POL,Share of population consuming vegetables daily,55.4,2019
CHL,Share of population consuming fruits daily,36.0,2016
EST,Share of population who are daily smokers,36.8,2010
EST,Share of population who are daily smokers,36.2,2012
EST,Share of population who are daily smokers,31.4,2014
EST,Share of population who are daily smokers,29.9,2016
EST,Share of population who are daily smokers,23.4,2018
EST,Share of population who are daily smokers,25.7,2020
EST,Share of population who are daily smokers,21.0,2022
BRA,Share of population who are daily smokers,11.7,2010
BRA,Share of population who are daily smokers,10.7,2011
BRA,Share of population who are daily smokers,9.2,2012
BRA,Share of population who are daily smokers,8.6,2013
BRA,Share of population who are daily smokers,9.0,2014
BRA,Share of population who are daily smokers,8.3,2015
BRA,Share of population who are daily smokers,8.0,2016
BRA,Share of population who are daily smokers,7.5,2017
BRA,Share of population who are daily smokers,6.9,2018
BRA,Share of population who are daily smokers,7.7,2019
BRA,Share of population who are daily smokers,7.6,2020
BRA,Share of population who are daily smokers,6.7,2021
ROU,Share of population who are daily smokers,5.4,2014
ROU,Share of population who are daily smokers,5.7,2019
FRA,Share of population consuming fruits daily,43.4,2012
FRA,Share of population consuming fruits daily,48.5,2014
FRA,Share of population consuming fruits daily,52.3,2019
SVN,Share of population consuming vegetables daily,60.9,2014
SVN,Share of population consuming vegetables daily,56.7,2019
BEL,Share of population who are overweight,34.4,2013
BEL,Share of population who are overweight,33.4,2018
ISL,Share of population who are overweight,31.1,2010
ISL,Share of population who are overweight,33.5,2012
ISL,Share of population who are overweight,29.1,2015
ISL,Share of population who are overweight,30.5,2019
ISL,Share of population who are overweight,44.0,2010
ISL,Share of population who are overweight,48.6,2012
ISL,Share of population who are overweight,45.0,2015
ISL,Share of population who are overweight,44.7,2019
BEL,Share of population who are overweight or obese,48.1,2013
BEL,Share of population who are overweight or obese,49.3,2018
EST,Share of population who are overweight or obese,48.6,2010
EST,Share of population who are overweight or obese,48.9,2012
EST,Share of population who are overweight or obese,52.0,2014
EST,Share of population who are overweight or obese,51.7,2016
EST,Share of population who are overweight or obese,50.7,2018
EST,Share of population who are overweight or obese,51.6,2020
EST,Share of population who are overweight or obese,52.7,2022
FRA,Share of population who are overweight,32.0,2015
FRA,Share of population who are overweight,30.8,2017
MEX,Share of population who are overweight,35.5,2012
MEX,Share of population who are overweight,37.0,2016
MEX,Share of population who are overweight,36.6,2018
MEX,Share of population who are overweight,35.8,2020
USA,Share of population who are obese,35.9,2010
USA,Share of population who are obese,33.9,2012
USA,Share of population who are obese,35.5,2014
USA,Share of population who are obese,38.3,2016
USA,Share of population who are obese,43.5,2018
ISR,Share of population who are obese,18.8,2015
LVA,Share of population who are obese,13.0,2010
LVA,Share of population who are obese,16.4,2012
LVA,Share of population who are obese,14.9,2014
LVA,Share of population who are obese,18.4,2017
PRT,Share of population consuming vegetables daily,60.7,2014
PRT,Share of population consuming vegetables daily,46.5,2019
TUR,Share of population consuming fruits daily,59.1,2010
TUR,Share of population consuming fruits daily,54.7,2012
TUR,Share of population consuming fruits daily,49.0,2014
TUR,Share of population consuming fruits daily,53.1,2016
TUR,Share of population consuming fruits daily,47.9,2019
LVA,Share of population who are daily smokers,20.3,2014
LVA,Share of population who are daily smokers,16.6,2019
CHE,Share of population who are daily smokers,25.0,2012
CHE,Share of population who are daily smokers,21.7,2017
CZE,Share of population consuming vegetables daily,41.4,2014
CZE,Share of population consuming vegetables daily,42.1,2019
AUS,Share of population who are daily smokers,16.6,2010
AUS,Share of population who are daily smokers,14.7,2013
AUS,Share of population who are daily smokers,14.0,2016
AUS,Share of population who are daily smokers,12.4,2019
BRA,Share of population who are daily smokers,16.8,2010
BRA,Share of population who are daily smokers,16.5,2011
BRA,Share of population who are daily smokers,15.5,2012
BRA,Share of population who are daily smokers,14.4,2013
BRA,Share of population who are daily smokers,12.8,2014
BRA,Share of population who are daily smokers,12.8,2015
BRA,Share of population who are daily smokers,12.7,2016
BRA,Share of population who are daily smokers,13.2,2017
BRA,Share of population who are daily smokers,12.1,2018
BRA,Share of population who are daily smokers,12.3,2019
BRA,Share of population who are daily smokers,11.7,2020
BRA,Share of population who are daily smokers,11.8,2021
CZE,Share of population who are overweight,30.0,2014
CZE,Share of population who are overweight,31.8,2019
LUX,Share of population who are overweight,39.6,2014
LUX,Share of population who are overweight,39.6,2017
LUX,Share of population who are overweight,40.1,2019
ESP,Share of population who are overweight,27.7,2011
ESP,Share of population who are overweight,27.6,2014
ESP,Share of population who are overweight,29.4,2017
ESP,Share of population who are overweight,28.4,2020
ISR,Share of population who are overweight,34.1,2010
ISR,Share of population who are overweight,36.1,2013
ISR,Share of population who are overweight,36.7,2014
ISR,Share of population who are overweight,36.5,2016
ISR,Share of population who are overweight,35.4,2017
ISR,Share of population who are overweight,38.3,2019
ISR,Share of population who are overweight,37.7,2020
EST,Share of population who are obese,16.9,2010
EST,Share of population who are obese,19.0,2012
EST,Share of population who are obese,19.5,2014
EST,Share of population who are obese,19.2,2016
EST,Share of population who are obese,19.1,2018
EST,Share of population who are obese,20.5,2020
EST,Share of population who are obese,21.0,2022
DNK,Share of population who are overweight or obese,46.7,2010
DNK,Share of population who are overweight or obese,47.4,2013
DNK,Share of population who are overweight or obese,51.0,2017
DNK,Share of population who are overweight or obese,52.6,2021
TUR,Share of population who are overweight or obese,50.5,2010
TUR,Share of population who are overweight or obese,52.7,2012
TUR,Share of population who are overweight or obese,53.5,2014
TUR,Share of population who are overweight or obese,53.8,2016
TUR,Share of population who are overweight or obese,57.0,2019
JPN,Share of population who are overweight,21.8,2010
JPN,Share of population who are overweight,21.4,2011
JPN,Share of population who are overweight,20.1,2012
JPN,Share of population who are overweight,20.4,2013
JPN,Share of population who are overweight,20.8,2014
JPN,Share of population who are overweight,20.1,2015
JPN,Share of population who are overweight,21.2,2016
JPN,Share of population who are overweight,21.6,2017
JPN,Share of population who are overweight,22.7,2018
JPN,Share of population who are overweight,22.6,2019
EST,Share of population who are overweight,26.4,2014
