STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,MARKET_TYPE,Market type,PHARMACEUTICAL,Pharmaceutical,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS2,Observation status 2,OBS_STATUS3,Observation status 3,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,ISR,Israel,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2014,,55.3,,D,Definition differs,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,ISR,Israel,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2015,,59.6,,D,Definition differs,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,ISR,Israel,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2016,,62.7,,D,Definition differs,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,ISR,Israel,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2017,,64.4,,D,Definition differs,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,ISR,Israel,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2018,,62.6,,D,Definition differs,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,ISR,Israel,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2019,,61.6,,D,Definition differs,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,ISR,Israel,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2020,,59.9,,D,Definition differs,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,ISR,Israel,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2021,,60,,D,Definition differs,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,ISR,Israel,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2022,,66.2,,D,Definition differs,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,SVN,Slovenia,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2010,,63.9,,D,Definition differs,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,SVN,Slovenia,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2011,,67.3,,D,Definition differs,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,SVN,Slovenia,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2012,,70.5,,D,Definition differs,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,SVN,Slovenia,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2013,,73.1,,D,Definition differs,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,SVN,Slovenia,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2014,,74.2,,D,Definition differs,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,SVN,Slovenia,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2015,,75.9,,D,Definition differs,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,SVN,Slovenia,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2016,,78.6,,D,Definition differs,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,SVN,Slovenia,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2017,,80.7,,D,Definition differs,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,SVN,Slovenia,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2018,,82.6,,D,Definition differs,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,SVN,Slovenia,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2019,,83.3,,D,Definition differs,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,SVN,Slovenia,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2020,,85.1,,D,Definition differs,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,SVN,Slovenia,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2021,,87.2,,D,Definition differs,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,SVN,Slovenia,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2022,,91.6,,D,Definition differs,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,SWE,Sweden,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2010,,51.9,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,SWE,Sweden,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2011,,53,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,SWE,Sweden,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2012,,53.9,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,SWE,Sweden,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2013,,55.6,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,SWE,Sweden,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2014,,56.5,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,SWE,Sweden,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2015,,58.4,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,SWE,Sweden,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2016,,60.4,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,SWE,Sweden,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2017,,62.4,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,SWE,Sweden,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2018,,64.9,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,SWE,Sweden,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2019,,67.8,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,SWE,Sweden,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2020,,70.1,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,SWE,Sweden,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2021,,73.2,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,SWE,Sweden,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2022,,80.5,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,LTU,Lithuania,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2010,,30.1,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,LTU,Lithuania,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2011,,32.4,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,LTU,Lithuania,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2012,,37,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,LTU,Lithuania,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2013,,40.6,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,LTU,Lithuania,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2014,,43.7,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,LTU,Lithuania,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2015,,44.3,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,LTU,Lithuania,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2016,,47.8,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,LTU,Lithuania,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2017,,50,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,LTU,Lithuania,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2018,,53.6,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,LTU,Lithuania,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2019,,56.7,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,LTU,Lithuania,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2020,,59,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,LTU,Lithuania,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2021,,58.8,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,PRT,Portugal,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2010,,62.5,,D,Definition differs,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,PRT,Portugal,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2011,,58.6,,D,Definition differs,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,PRT,Portugal,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2012,,61,,D,Definition differs,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,PRT,Portugal,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2013,,62.7,,D,Definition differs,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,PRT,Portugal,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2014,,64.5,,D,Definition differs,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,PRT,Portugal,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2015,,67.2,,D,Definition differs,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,PRT,Portugal,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2016,,68.5,,D,Definition differs,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,PRT,Portugal,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2017,,67.9,,D,Definition differs,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,PRT,Portugal,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2018,,70.4,,D,Definition differs,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,PRT,Portugal,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2019,,74.2,,D,Definition differs,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,PRT,Portugal,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2020,,76.7,,D,Definition differs,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,PRT,Portugal,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2021,,78.6,,D,Definition differs,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,PRT,Portugal,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2022,,85,,D,Definition differs,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,ITA,Italy,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2011,,61.6,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,ITA,Italy,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2012,,62,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,ITA,Italy,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2013,,62.4,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,ITA,Italy,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2014,,61.8,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,ITA,Italy,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2015,,62,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,ITA,Italy,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2016,,62.2,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,ITA,Italy,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2017,,62.5,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,ITA,Italy,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2018,,63,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,ITA,Italy,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2019,,64,,,,,,,,0,Units,,
